asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
BTC,1d,CatBoost_MC,MC_null_iter158,-0.5728,0.618,1.0,,0.5389,831,
BTC,1d,CatBoost_MC,MC_null_iter159,1.4978,0.499,1.0,,0.4593,860,
BTC,1d,CatBoost_MC,MC_null_iter160,-1.2,0.5044,1.0,,0.5531,892,
BTC,1d,CatBoost_MC,MC_null_iter161,-2.8389,0.5459,1.0,,0.5655,838,
BTC,1d,CatBoost_MC,MC_null_iter162,-1.4903,0.4793,1.0,,0.5225,889,
BTC,1d,CatBoost_MC,MC_null_iter163,2.284,0.3325,1.0,,0.6557,914,
BTC,1d,CatBoost_MC,MC_null_iter164,-0.1175,0.4348,1.0,,0.5537,885,
BTC,1d,CatBoost_MC,MC_null_iter165,1.1678,0.5889,1.0,,0.7101,841,
BTC,1d,CatBoost_MC,MC_null_iter166,0.8996,0.46,1.0,,0.618,888,
BTC,1d,CatBoost_MC,MC_null_iter167,-0.6956,0.5585,1.0,,0.569,868,
BTC,1d,CatBoost_MC,MC_null_iter168,1.2629,0.5592,1.0,,0.5989,883,
BTC,1d,CatBoost_MC,MC_null_iter169,-0.0073,0.4803,1.0,,0.4167,836,
BTC,1d,CatBoost_MC,MC_null_iter170,-0.5663,0.4986,1.0,,0.7059,849,
BTC,1d,CatBoost_MC,MC_null_iter171,-0.1024,0.6612,1.0,,0.5543,872,
BTC,1d,CatBoost_MC,MC_null_iter172,0.351,0.5115,1.0,,0.5676,923,
BTC,1d,CatBoost_MC,MC_null_iter173,0.43,0.4789,1.0,,0.711,864,
BTC,1d,CatBoost_MC,MC_null_iter174,-0.4321,0.5253,1.0,,0.5449,833,
BTC,1d,CatBoost_MC,MC_null_iter175,-1.1995,0.5143,1.0,,0.5196,894,
BTC,1d,CatBoost_MC,MC_null_iter176,0.049,0.4597,1.0,,0.3216,854,
BTC,1d,CatBoost_MC,MC_null_iter177,2.1235,0.4839,1.0,,0.5806,927,
BTC,1d,CatBoost_MC,MC_null_iter178,1.7237,0.4797,1.0,,0.5574,914,
BTC,1d,CatBoost_MC,MC_null_iter179,-1.3498,0.5476,1.0,,0.618,888,
BTC,1d,CatBoost_MC,MC_null_iter180,-0.1461,0.4374,1.0,,0.6011,912,
BTC,1d,CatBoost_MC,MC_null_iter181,-0.5604,0.5608,1.0,,0.642,876,
BTC,1d,CatBoost_MC,MC_null_iter182,1.3885,0.5214,1.0,,0.4795,852,
BTC,1d,CatBoost_MC,MC_null_iter183,-0.118,0.5352,1.0,,0.6627,827,
BTC,1d,CatBoost_MC,MC_null_iter184,-0.0439,0.4788,1.0,,0.6686,858,
BTC,1d,CatBoost_MC,MC_null_iter185,-0.2743,0.5728,1.0,,0.5503,842,
BTC,1d,CatBoost_MC,MC_null_iter186,1.0294,0.5503,1.0,,0.4809,915,
BTC,1d,CatBoost_MC,MC_null_iter187,-0.3763,0.533,1.0,,0.6766,834,
BTC,1d,CatBoost_MC,MC_null_iter188,1.3729,0.4289,1.0,,0.7384,858,
BTC,1d,CatBoost_MC,MC_null_iter189,0.9632,0.5541,1.0,,0.6022,930,
