asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
MULTI,1d,Momentum,XS_mom30d_top3,-0.0921,,,0.9988,0.9988,845,
MULTI,1d,Momentum,XS_mom30d_top5,-0.5008,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom30d_top10,-0.9384,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom60d_top3,-0.0879,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom60d_top5,-0.3566,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom60d_top10,-0.8211,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom90d_top3,0.1058,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom90d_top5,-0.3366,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom90d_top10,-0.907,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom120d_top3,0.1815,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom120d_top5,-0.1716,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom120d_top10,-0.8652,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom252d_top3,0.1349,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom252d_top5,-0.1035,,,1.0,1.0,845,
MULTI,1d,Momentum,XS_mom252d_top10,-0.9179,,,1.0,1.0,845,
MULTI,1d,CTREND,XS_CTREND_top3,0.3498,,,1.0,1.0,845,
MULTI,1d,CTREND,XS_CTREND_top5,-0.2157,,,1.0,1.0,845,
MULTI,1d,CTREND,XS_CTREND_top10,-0.8442,,,1.0,1.0,845,
BTC,1h,CatBoost,TB_pt1.0_sl1.5_CatBoost,-1.8749,0.5083,1.0,0.9801,0.4592,15559,
BTC,1h,LightGBM,TB_pt1.0_sl1.5_LightGBM,-1.5749,0.5117,1.0,0.8924,0.4875,15559,
BTC,1h,RF,TB_pt1.0_sl1.5_RF,-1.5188,0.5138,1.0,0.9897,0.474,15559,
BTC,1h,CatBoost,TB_pt1.0_sl2.0_CatBoost,-1.5389,0.5027,1.0,0.9967,0.3963,15328,
BTC,1h,LightGBM,TB_pt1.0_sl2.0_LightGBM,-1.5267,0.5057,1.0,0.9635,0.5023,15328,
BTC,1h,RF,TB_pt1.0_sl2.0_RF,-1.7297,0.5011,1.0,0.9971,0.4638,15328,
BTC,1h,CatBoost,TB_pt1.0_sl2.5_CatBoost,-1.4763,0.4942,1.0,0.998,0.3968,15070,
